sample,contig,match_acc,match_description,pident,length,qstart,qend,sstart,send
CRK_2,CRK_2-9767,D00905,KHR (orf only),99.888,891,24151,25041,1,891
CRK_2,CRK_2-9822,NO.ACC,KHS,99.905,1053,67167,68219,1,1053
CRL_,CRL_1_AB3AC.IND41b-8860,NO.ACC,KHS,99.905,1053,2574,3626,1053,1
CRL_,CRL_1_AB3AC.IND41b-8964,D00905,KHR (orf only),99.888,891,270410,271300,891,1
GAL,GAL-5782,D00905,KHR (orf only),100.000,891,185,1075,891,1
GAL,GAL-5966,NO.ACC,KHS,89.848,1054,1520,2572,1053,1
